itemid,one-liner,year
001-203165,"['RESPECT FOR CORRESPONDENCE | POSITIVE OBLIGATIONS\n', 'Failure of the courts to examine the merits of a complaint of cyberbullying\n', 'closely linked to a complaint about domestic violence: violation\n', 'Buturugă v. Romania, no. 56867/15, 11 February 2020\n', 'Judgment | Legal summary\n']",2020
001-217565,"['ARTICLE 5\n', 'Article 5 § 1\n', 'DEPRIVATION OF LIBERTY\n', '52-day general lockdown imposed by the authorities to tackle the\n', 'COVID-19 pandemic: Article\xa05 not applicable; inadmissible\n', 'Terheş v. Romania (dec.), no. 49933/20, 13 April 2021\n', 'Decision | Legal summary\n']",2021
001-184438,"['RESPECT FOR PRIVATE LIFE | POSITIVE OBLIGATIONS\n', 'Refusal to oblige media to anonymise online archive material about a crime at\n', 'the request of its perpetrators in view of their imminent release: no violation\n', 'M.L. and W.W. v. Germany, nos.\u202f60798/10 and 65599/10, 28.6.2018\n', 'Judgment | Legal summary\n']",2018
001-195544,"['Osman v. the United Kingdom principles applied\n', 'in a kidnapping context: violation\n', 'Olewnik-Cieplińska and Olewnik v. Poland,\n', 'no.\u202f20147/15, 5\xa0September 2019\n', 'Judgment | Legal summary\n']",2019
001-222072,"['Criminal fine of EUR 1,000 for disclosing to the media confidential\n', 'documents from a private-sector employer concerning the tax\n', 'practices of multinational companies (“Luxleaks”): violation\n', 'Halet v. Luxembourg [GC], no. 21884/18, 14 February 2023\n', 'Judgment | Legal summary\n']",2023
001-189781,"['EFFECTIVE INVESTIGATION | POSITIVE OBLIGATIONS (procedural aspect)\n', 'Cyprus’ refusal to waive its criminal jurisdiction in\n', 'favour of the “TRNC” courts: no violation\n', 'Failure of Turkey to cooperate with Cyprus in murder investigation: violation\n', 'Güzelyurtlu and Others v. Cyprus and Turkey\n', '[GC], no.\xa036925/07, 29\xa0January 2019\n', 'Judgment | Legal summary\n']",2019
001-217751,"['Advisory opinion on the difference in treatment between\n', 'landowners’ associations “having a recognised existence on the\n', 'date of the creation of an approved municipal hunters’\n', 'association” and landowners’ associations set up after that date\n', 'Advisory opinion requested by the French Conseil d’État [GC],\n', 'request no. P16-2021-002, 13 July 2022\n', 'Opinion | Legal summary\n']",2022
001-234982,"['ARTICLE 46\n', 'Article 46 § 2\n', 'EXECUTION OF JUDGMENT\n', 'INDIVIDUAL MEASURES\n', 'Respondent State to take measures to secure the safe return of\n', 'prisoners transferred from Crimea to penal facilities located on\n', 'the Russian Federation’s territory\n', 'Ukraine v. Russia (re Crimea) [GC], nos. 20958/14 and 38334/18,\n', '25 June 2024\n', 'Judgment | Legal summary\n']",2024
001-186767,"['CONTROL OF THE USE OF PROPERTY\n', 'State monopoly of the schoolbook distribution market: violation\n', 'Könyv-Tár Kft and Others v. Hungary, no. 21623/13, 16.10.2018\n', 'Judgment | Legal summary\n']",2018
001-219067,"['7\n', 'Key cases 2022\n', 'EFFECTIVE INVESTIGATION\n', 'Failure to effectively investigate alleged death threats against\n', 'vulnerable rape victim by her abuser and father, in breach of\n', 'domestic law: violation\n', 'J.I. v. Croatia, no. 35898/16, 8 September 2022\n', 'Judgment | Legal summary\n']",2022
